"fecha","cotizacion"
06/06/2014,"12.89810"
09/06/2014,"12.99120"
10/06/2014,"13.04860"
11/06/2014,"13.03060"
12/06/2014,"12.98150"
13/06/2014,"13.01640"
16/06/2014,"13.03230"
17/06/2014,"13.10070"
18/06/2014,"13.06720"
19/06/2014,"12.98850"
20/06/2014,"13.01240"
23/06/2014,"13.00560"
24/06/2014,"13.02180"
25/06/2014,"13.01740"
26/06/2014,"13.03230"
27/06/2014,"13.00020"
30/06/2014,"12.97120"
01/07/2014,"12.96050"
02/07/2014,"12.96730"
03/07/2014,"12.98290"
04/07/2014,"12.97680"
07/07/2014,"12.99490"
08/07/2014,"13.00060"
09/07/2014,"12.97800"
10/07/2014,"13.00150"
11/07/2014,"12.98500"
14/07/2014,"12.97550"
15/07/2014,"12.96110"
16/07/2014,"12.93900"
17/07/2014,"12.94540"
18/07/2014,"12.95880"
21/07/2014,"12.97510"
22/07/2014,"12.93930"
23/07/2014,"12.92860"
24/07/2014,"12.95720"
25/07/2014,"12.94450"
28/07/2014,"12.98780"
29/07/2014,"13.05780"
30/07/2014,"13.13570"
31/07/2014,"13.22690"
01/08/2014,"13.19320"
04/08/2014,"13.19620"
05/08/2014,"13.27160"
06/08/2014,"13.25800"
07/08/2014,"13.25510"
08/08/2014,"13.23600"
11/08/2014,"13.19980"
12/08/2014,"13.15900"
13/08/2014,"13.11130"
14/08/2014,"13.07170"
15/08/2014,"13.07480"
18/08/2014,"13.05050"
19/08/2014,"13.05320"
20/08/2014,"13.08140"
21/08/2014,"13.09630"
22/08/2014,"13.13280"
25/08/2014,"13.13830"
26/08/2014,"13.10590"
27/08/2014,"13.08110"
28/08/2014,"13.11090"
29/08/2014,"13.07630"
01/09/2014,"13.08330"
02/09/2014,"13.12990"
03/09/2014,"13.08920"
04/09/2014,"13.09590"
05/09/2014,"13.07880"
08/09/2014,"13.08130"
09/09/2014,"13.21620"
10/09/2014,"13.21440"
11/09/2014,"13.21440"
12/09/2014,"13.26440"
15/09/2014,"13.22230"
17/09/2014,"13.17620"
18/09/2014,"13.24020"
19/09/2014,"13.23690"
22/09/2014,"13.25660"
23/09/2014,"13.27680"
24/09/2014,"13.30150"
25/09/2014,"13.38480"
26/09/2014,"13.45410"
29/09/2014,"13.48910"
